NAME                   IMAGE                                          COMMAND                  SERVICE             CREATED          STATUS                    PORTS
taasim-cassandra       cassandra:4.1                                  "docker-entrypoint.s…"   cassandra           43 hours ago     Up 2 hours (healthy)      7000-7001/tcp, 7199/tcp, 9160/tcp, 0.0.0.0:9042->9042/tcp, [::]:9042->9042/tcp
taasim-flink-jm        flink:1.18.1-scala_2.12-java17                 "/docker-entrypoint.…"   flink-jobmanager    43 hours ago     Up 2 hours (healthy)      6123/tcp, 0.0.0.0:8081->8081/tcp, [::]:8081->8081/tcp
taasim-flink-tm        flink:1.18.1-scala_2.12-java17                 "/docker-entrypoint.…"   flink-taskmanager   43 hours ago     Up 2 hours                6123/tcp, 8081/tcp
taasim-grafana         grafana/grafana:10.4.2                         "/run.sh"                grafana             43 hours ago     Up 2 hours (healthy)      0.0.0.0:3000->3000/tcp, [::]:3000->3000/tcp
taasim-jupyter         quay.io/jupyter/pyspark-notebook:spark-3.5.0   "tini -g -- start.sh…"   jupyter             2 hours ago      Up 2 hours (healthy)      4040/tcp, 0.0.0.0:8888->8888/tcp, [::]:8888->8888/tcp
taasim-kafka           confluentinc/cp-kafka:7.6.1                    "/etc/confluent/dock…"   kafka               43 hours ago     Up 2 hours (healthy)      0.0.0.0:9092->9092/tcp, [::]:9092->9092/tcp, 0.0.0.0:9101->9101/tcp, [::]:9101->9101/tcp
taasim-kafka-connect   confluentinc/cp-kafka-connect:7.6.1            "/bin/bash /init/con…"   kafka-connect       48 seconds ago   Up 43 seconds (healthy)   9092/tcp, 0.0.0.0:8084->8083/tcp, [::]:8084->8083/tcp
taasim-kafka-ui        provectuslabs/kafka-ui:latest                  "/bin/sh -c 'java --…"   kafka-ui            43 hours ago     Up 2 hours                0.0.0.0:8083->8080/tcp, [::]:8083->8080/tcp
taasim-minio           minio/minio:latest                             "/usr/bin/docker-ent…"   minio               43 hours ago     Up 2 hours (healthy)      0.0.0.0:9000-9001->9000-9001/tcp, [::]:9000-9001->9000-9001/tcp
taasim-spark-master    quay.io/jupyter/pyspark-notebook:spark-3.5.0   "/usr/local/spark/bi…"   spark-master        2 hours ago      Up 2 hours (healthy)      0.0.0.0:7077->7077/tcp, [::]:7077->7077/tcp, 4040/tcp, 8888/tcp, 0.0.0.0:8080->8080/tcp, [::]:8080->8080/tcp
taasim-spark-worker    quay.io/jupyter/pyspark-notebook:spark-3.5.0   "/usr/local/spark/bi…"   spark-worker        2 hours ago      Up 2 hours (healthy)      4040/tcp, 8888/tcp, 0.0.0.0:8082->8082/tcp, [::]:8082->8082/tcp
